Price,Close,High,Low,Open,Volume
Ticker,ASK.BK,ASK.BK,ASK.BK,ASK.BK,ASK.BK
Date,,,,,
2022-07-04,27.56212043762207,28.010284997583405,26.441709037718734,27.786202717602738,1580800
2022-07-05,25.545379638671875,27.56212013646176,25.545379638671875,27.56212013646176,1821800
2022-07-06,26.66579246520996,27.113957044457187,25.32129872746828,25.32129872746828,1248200
2022-07-07,28.010286331176758,28.23436862182617,27.338039459228515,27.56212174987793,1764800
2022-07-08,27.113956451416016,28.234367875028248,26.889874166693566,28.234367875028248,1331100
2022-07-11,27.56212043762207,27.786202717602738,26.88987359768007,27.56212043762207,654200
2022-07-12,27.113956451416016,27.786203305583353,27.113956451416016,27.562121020860907,828300
2022-07-14,27.338037490844727,27.78620203987497,26.889872941814488,27.338037490844727,614100
2022-07-15,26.889873504638672,27.338038063049314,26.441708946228026,26.66579122543335,664000
2022-07-18,28.010286331176758,29.354780075073243,27.113957168579102,27.113957168579102,2094300
2022-07-19,29.13069725036621,29.13069725036621,27.56212124457726,27.786203531118538,478700
2022-07-20,30.475191116333008,30.6992734039531,29.130697390612433,29.578861965852624,2408200
2022-07-21,30.923355102539062,31.147437385890793,29.8029436857804,30.475190535835598,1567200
2022-07-22,31.595600128173828,31.595600128173828,30.699271046523506,30.923353316936087,1372000
2022-07-25,32.26784896850586,32.26784896850586,30.69927297698127,31.595602114995323,1511800
2022-07-26,32.043766021728516,32.49193058147297,31.371519182111832,32.043766021728516,1594800
2022-07-27,32.26784896850586,32.26784896850586,31.37151983049181,32.04376668400235,564100
2022-08-01,33.612342834472656,33.612342834472656,32.267849121093754,32.267849121093754,1261900
2022-08-02,32.940093994140625,33.612340810347575,32.71601172207164,33.612340810347575,911400
2022-08-03,32.940093994140625,33.16417626620961,31.147435817588754,32.71601172207164,1827200
2022-08-04,32.71601104736328,33.612340117154055,31.819681977572507,33.16417558225867,923300
2022-08-05,33.83642578125,34.060508071192054,32.940096621481786,32.940096621481786,1253300
2022-08-08,33.612342834472656,33.836425120035805,33.16417826334636,33.38826054890951,218000
2022-08-09,33.83642578125,33.83642578125,31.819685171771525,33.612343491307946,1220600
2022-08-10,32.940093994140625,33.38825853827859,32.71601172207164,33.38825853827859,848900
2022-08-11,31.819683074951172,33.38825900118116,31.819683074951172,33.164176726005444,1061600
2022-08-15,31.819683074951172,32.49192990047831,31.595600799775458,32.26784762530259,1160200
2022-08-16,31.147438049316406,32.04376720181472,30.699273473067247,32.04376720181472,1622300
2022-08-17,32.71601104736328,33.836422384601754,30.923352907781734,30.923352907781734,2670900
2022-08-18,33.38825988769531,33.61234216882079,32.49193076319342,32.7160130443189,590500
2022-08-19,34.28458786010742,37.19765741684857,34.28458786010742,36.74949286965763,8652000
2022-08-22,33.612342834472656,34.956836547851566,33.38826054890951,34.50867197672526,2307700
2022-08-23,33.83642578125,34.732754941018214,32.940096621481786,33.38826120136589,2246500
2022-08-24,33.38825988769531,34.060506731071726,32.94009532544437,33.83642444994626,1870100
2022-08-25,32.4919319152832,33.612343360637794,32.04376733714137,33.612343360637794,4730100
2022-08-26,32.043766021728516,32.94009514121743,32.043766021728516,32.7160128613452,1661000
2022-08-29,32.043766021728516,32.26784830160074,31.371519182111832,31.371519182111832,1452700
2022-08-30,31.147438049316406,31.81968491369014,30.923355761191825,31.81968491369014,1996900
2022-08-31,32.043766021728516,32.043766021728516,31.147436902239605,31.371519182111832,1495700
2022-09-01,30.923355102539062,31.595601952594258,30.69927281918733,31.371519669242527,1287100
2022-09-02,31.37152099609375,31.819685581752232,30.699274117606027,31.14743870326451,780300
2022-09-05,30.923355102539062,31.371519669242527,30.69927281918733,31.371519669242527,467100
2022-09-06,30.69927215576172,31.147436712780138,30.475189877252507,31.147436712780138,642000
2022-09-07,30.69927215576172,30.923354434270927,30.475189877252507,30.475189877252507,508600
2022-09-08,31.37152099609375,31.37152099609375,30.699274117606027,30.699274117606027,932400
2022-09-09,31.819683074951172,32.26784762530259,31.595600799775458,31.595600799775458,1568800
2022-09-12,32.043766021728516,32.49193058147297,31.819683741856288,32.26784830160074,1517400
2022-09-13,33.38825988769531,33.38825988769531,32.267848482067954,32.49193076319342,2376500
2022-09-14,33.38825988769531,33.38825988769531,32.49193076319342,32.49193076319342,1077000
2022-09-15,32.71601104736328,33.836422384601754,32.71601104736328,33.612340117154055,869000
